system   D            wsystem.c:583  maybe_parent_dir                 [   0.00072] Also searching C:\Users\Mr. Mojo Risin\Documents\Visual Studio 2012\Projects\Project2\
display  D   display_settings.c:191  debug_display_settings           [   0.58774] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58777] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58780] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.58783] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58785] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58789] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58791] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58795] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58797] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.58800] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58803] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58806] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58808] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58811] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58814] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.58817] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58819] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58822] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58825] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58828] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58831] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.58834] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58836] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58839] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58842] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58845] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58847] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.58850] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58853] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58856] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58858] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58861] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58864] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.58867] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58870] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58873] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58876] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58879] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58881] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.58884] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58887] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58890] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.58892] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.58895] Single Buffer requirement not met.
